No,Project Name,URL,Author/Team,Likes,Bookmarks,Accessible,Status,Description,IsWinner,AwardName,AwardComment,IsFinalPitch
59,AgriLens,https://zenn.dev/service/articles/b1095e5acb32c9,個人,6,2,True,200,衛星データを使って農地AIエージェントを作ってみた【AI Agent Hackathon応募作品】,False,,,False
60,クックマネージャー,https://zenn.dev/anchan8/articles/25eddf1fa719b1,チーム: セル,13,2,True,200,"【AI Agent Hackathon】""ごはん何作ろう問題""にAIが壁打ち！AI×LINE×YouTubeで解決するボット開発",False,,,False
61,おうちのAI相談室,https://zenn.dev/mihyoshida/articles/28711d4a203800,チーム: ABの遺伝子,4,2,True,200,"おうちのAI相談室：相続と空き家の""感情の壁""を対話型AIエージェントで乗り越える",False,,,False
62,CEMENT,https://zenn.dev/dmorita/articles/829de6120aab33,チーム: AL2,8,1,True,200,【AI Agentハッカソン】読んだフリで終わらせない。プレゼンさせて記憶を固める鬼コーチAI「CEMENT」,False,,,False
63,飲食店のシフト管理負担をゼロへ！シフト管理AI〜シフ長〜,https://zenn.dev/akito0818/articles/3e3f4694fc1846,チーム: シフ長,18,5,True,200,飲食店のシフト管理負担をゼロへ！シフト管理AI〜シフ長〜【第2回 AI Agent Hackathon with Google Cloud】,False,,,False
64,Discordコミュニティ運営AIエージェント「コミュニティ羅針にゃん」,https://zenn.dev/ayyh_18/articles/e2695d72f3c2a6,チーム: コミュニティプロメンバーズ,10,2,True,200,Discordコミュニティ運営AIエージェント「コミュニティ羅針にゃん」,False,,,False
65,絵文字窓口,https://zenn.dev/team_9z9/articles/7f356d0df0417b,チーム: Chronos,5,0,True,200,絵文字窓口 -絵文字で暮らしサポート- 【第2回 AI Agent Hackathon with Google Cloud】,False,,,False
66,RoomBot,https://zenn.dev/td_maru/articles/50b299b23f8edb,チーム: VIRMUS,5,0,True,200,🤖 RoomBot-会議室向けAIエージェントシステム AI Agent Hackathon with Google Cloud,False,,,False
67,性格診断シューティングゲーム「深淵の射撃場」,https://zenn.dev/beavers_hive/articles/2ae330de0a62b6,個人,15,12,True,200,GeminiCLIとMCPで、性格診断シューティングゲーム作ってみた【MCP✖️BLE】,False,,,False
68,AIを活用した住宅ミスマッチ防止アプリ「次の住処」,https://zenn.dev/wakioh/articles/befe49f63e5bf6,チーム: sudo make coffee,7,1,True,200,次の住処　〜住宅ミスマッチ防止bot〜【AI Agent Hackathon with Google Cloud】,False,,,False
69,GeminiとGoogleサービスで作るお祭り検索＆訪問記録アプリ,https://zenn.dev/chattso_gpt/articles/bbfeccaf9c71cf,チーム: ちゃそっこを調教する会 - AI Agent Hackathon編-,1,0,True,200,GeminiとGoogleサービスで作る、お祭り検索＆訪問記録アプリ開発記,False,,,False
70,norn,https://zenn.dev/ryoga_88/articles/29be2860250abe,チーム: norn,4,0,True,200,面倒な旅行計画、さようなら。複数人のワガママを全て叶えるAI旅行プランナー,False,,,False
71,Polyphra,https://zenn.dev/momocraft/articles/899cd2f2541d41,チーム: Polyphra開発者たち,9,3,True,200,新感覚英語学習ツール「Polyphra」,False,,,False
72,Skill Map,https://zenn.dev/yuk0104/articles/6b6b10233ead6b,チーム: DCS,2,0,True,200,VertexAIを活用したスキルマップ作成ツール,False,,,False
73,Manga Maker,https://zenn.dev/da_takatsuki/articles/6e8d2de4baa76f,チーム: fridaycat20,7,0,True,200,MangaMaker 〜議事録から４コマ漫画を自動生成〜 【第2回 AI Agent Hackathon】,False,,,False
74,Summaryme.ai,https://zenn.dev/hue/articles/zenn_ai_hackathon_202506,チーム: ガヤ民,61,20,True,200,積読おさらば。AIがあなたの「後で読む」をPodcastにする『Summaryme.ai』で、情報収集を劇的に効率化する,False,,,False
75,Kikimimi,https://zenn.dev/riku_yanagawa/articles/193e19acd4ccc5,チーム: Kikimimi,8,0,True,200,Kikimimi — 字幕・翻訳・Q&A・マインドマップで会議を加速するAIアシスタント,False,,,False
76,AIMeeBo,https://zenn.dev/marcosan/articles/80c0b704e88191,個人,14,0,True,200,"リアルタイムでグラフィカルな""議事ボード""を自動作成する「AI Meeting Board」を開発",True,🏅 Firebase賞,この度は、AiMeeBoの素晴らしいアプリプレゼンテーション、誠におめでとうございます！Firebaseを見事に活用し、革新的なAIアプリケーションを迅速に構築された皆様の取り組みに深く感銘を受けました。Firebase Authenticationでの迅速な認証実装、そしてRealtime Databaseを用いたシンプルかつ高度なAI機能の実現は、Firebaseの可能性を示す好例です。その低遅延性がAiMeeBoの用途に完璧にマッチしていたのは、皆様の綿密な設計の賜物だと感じます。AiMeeBoアプリも本当に素晴らしい出来栄えですね。私自身の会議でもぜひ使ってみたいです！この度の素晴らしい成果に、心よりお祝い申し上げます。,True
77,hanaCare,https://zenn.dev/vizo/articles/ca8824dae2cf52,チーム: ViZO,5,0,True,200,hanaCare（第2回 AI Agent Hackathon with Google Cloud 参加）,False,,,False
78,OGORI MATCH,https://zenn.dev/zenn_tata/articles/e4cbd07926dd91,チーム: YOKOKU.D,5,3,True,200,OGORI MATCH: 一杯のドリンクで、組織の「風通し」を変えるAIエージェント,False,,,False
79,「学んだつもり」を「体験」に変える。学びのためのシミュレーションゲーム生成AIサービス -Noveroo-,https://zenn.dev/yana22/articles/fc81742dc17193,個人,18,3,True,200,「学んだつもり」を「体験」に変える。学びのためのシミュレーションゲーム生成AIサービス -Noveroo-,False,,,False
80,everstudy,https://zenn.dev/ka_projects/articles/enken-hackathon-everstudy,チーム: シロナガスクジラ,3,0,True,200,継続して学習することを支援するWebアプリ,False,,,False
81,ホジョキンTV エブリデイ,https://zenn.dev/hitotori/articles/2116074aeadc71,チーム: ホジョキン制作チーム,39,1,True,200,会話から「それ補助金貰えるかも」を通知するLINE Bot、ホジョキンTV エブリデイを制作しました【AI Agent Hackathon】,False,,,False
82,旅するデジタルペット - たびぺっち,https://zenn.dev/enu_kuro/articles/2ebd7de4dbbca2,個人,10,0,True,200,旅するデジタルペット - たびぺっち【第2回 AI Agent Hackathon with Google Cloud】,False,,,False
